s_e esize chi2ndf_e s_m msize chi2ndf_m log10_NeNm_0_300 log10_NeNm_100_300 log10_NeNm_50_450 log10_NeNm_50_600 log10_NeNm_20_600 log10_NeNm_300_600 log10_NeNm_0_600 e_mean_0_300 e_var_0_300 e_skew_0_300 e_kurt_0_300 m_mean_0_300 m_var_0_300 m_skew_0_300 m_kurt_0_300 e_mean_100_300 e_var_100_300 e_skew_100_300 e_kurt_100_300 m_mean_100_300 m_var_100_300 m_skew_100_300 m_kurt_100_300 e_mean_50_450 e_var_50_450 e_skew_50_450 e_kurt_50_450 m_mean_50_450 m_var_50_450 m_skew_50_450 m_kurt_50_450 e_mean_50_600 e_var_50_600 e_skew_50_600 e_kurt_50_600 m_mean_50_600 m_var_50_600 m_skew_50_600 m_kurt_50_600 e_mean_20_600 e_var_20_600 e_skew_20_600 e_kurt_20_600 m_mean_20_600 m_var_20_600 m_skew_20_600 m_kurt_20_600 e_mean_300_600 e_var_300_600 e_skew_300_600 e_kurt_300_600 m_mean_300_600 m_var_300_600 m_skew_300_600 m_kurt_300_600 e_mean_0_600 e_var_0_600 e_skew_0_600 e_kurt_0_600 m_mean_0_600 m_var_0_600 m_skew_0_600 m_kurt_0_600
0.909703 213.639 7.45511 -1 -1 -1 1.34242 0.60206 0.823909 0.823909 0.868721 0 1.34242 17.3872 1256.39 3.32353 13.294 53.6921 1707.49 0.941496 -0.239057 169.685 1693.69 0.0379299 -1.12409 -9999 -9999 -9999 -9999 103.12 2892.32 1.11321 -0.106698 -9999 -9999 -9999 -9999 103.12 2892.32 1.11321 -0.106698 -9999 -9999 -9999 -9999 59.0239 2129.4 2.15109 4.22793 63.1075 1572.08 0.894747 -0.540173 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 17.3872 1256.39 3.32353 13.294 53.6921 1707.49 0.941496 -0.239057
1.33145 32588.4 9.13868 -1 -1 -1 2.61633 2.36989 2.3973 2.35826 2.41968 2.12671 2.45525 113.003 6503.5 0.593759 -0.748781 184.701 5151.9 -0.299455 -1.00633 183.435 3228.7 0.351456 -1.04821 205.361 3168.51 -0.185932 -1.03178 188.89 11873.6 0.674391 -0.633633 252.061 9857.16 -0.0341629 -1.13964 225.171 21526.2 0.823075 -0.372499 297.019 17186.1 0.166008 -1.04098 195.419 22969.1 0.913935 -0.171267 289.919 18491.6 0.114661 -0.99998 429.322 7383.11 0.29392 -1.10221 414.267 5472.16 0.264171 -1.29628 181.044 23586.3 0.957948 -0.0637524 289.919 18491.6 0.114661 -0.99998
1.0843 37817 34.868 -1 -1 -1 2.58922 2.3461 2.42023 2.38083 2.45769 2.13977 2.50495 88.4821 5374.14 1.04593 0.184017 133.882 7013.99 0.243728 -1.28127 175.177 3056.34 0.550411 -0.806511 191.084 3206 0.0483439 -1.2456 161.997 10216.8 1.01378 0.080856 200.014 10202.1 0.255759 -1.11512 184.509 17203.7 1.23772 0.742091 248.451 22967.6 0.705542 -0.491152 144.026 17092 1.45601 1.48158 221.415 25160 0.736653 -0.420527 416.834 7202.52 0.465243 -0.947539 432.435 10010.8 0.237123 -1.6911 127.231 16811.8 1.55945 1.87772 215.562 25629.1 0.743848 -0.404587
1.35785 11555.6 23.8503 1.40345 200.131 0.608213 1.88581 1.79873 1.82705 1.77994 1.78595 1.53833 1.79007 130.075 5309.07 0.599459 -0.672443 142.784 5363.17 0.274386 -1.03125 181.392 3207.27 0.409044 -1.00677 180.224 3182.83 0.293674 -1.18096 174.459 10765.8 0.84464 -0.302748 206.988 12632.3 0.510611 -0.900358 202.5 18994.2 1.06276 0.234167 262.242 25179 0.510384 -1.03121 190.737 19451.5 1.08683 0.330526 248.942 26588.6 0.525433 -0.980229 423.219 7515.73 0.380815 -1.08419 438.304 8135.97 -0.00447226 -1.40664 189.054 19565 1.08374 0.337157 248.942 26588.6 0.525433 -0.980229
1.45021 1458.02 6.00764 -1 -1 -1 1.33345 1.24107 1.31387 1.21516 1.22819 1.02119 1.23045 146.403 4044.32 0.40395 -0.530117 176.683 3674.07 0.310106 -1.34384 169.432 2832.44 0.643776 -0.719734 181.071 3471.67 0.292429 -1.37716 193.502 10019.7 0.711049 -0.641053 219.116 10645.8 0.660192 -0.859472 216.672 15758.4 0.865942 -0.262861 299.398 26733.7 0.375629 -1.38972 211.422 16200 0.848964 -0.243148 299.398 26733.7 0.375629 -1.38972 398.07 5007.84 0.610647 -0.874741 474.705 6228.51 -0.132099 -1.15682 210.408 16313.3 0.84096 -0.240608 299.398 26733.7 0.375629 -1.38972
1.48486 10897.2 6.19221 1.41538 525.704 1.14638 1.18018 1.13501 1.15374 1.12511 1.12973 1.01614 1.1251 137.22 5822.25 0.410781 -0.930725 145.441 6207.32 0.166725 -1.02663 186.586 3214.33 0.309251 -1.06267 189.067 3185.86 0.289781 -1.14458 199.528 12882.2 0.537077 -0.899053 221.827 13265.6 0.360217 -1.07502 238.938 22567.5 0.651255 -0.691433 275.955 24735.2 0.406724 -1.03691 225.583 23584 0.680479 -0.637316 262.391 26428.6 0.414261 -1.00896 428.822 6917.43 0.34353 -1.02543 439.758 7667.23 0.172185 -1.08888 223.141 23820.4 0.680488 -0.628739 256.892 27189.7 0.411601 -0.996496
1.3126 44454.3 14.0946 1.28987 1498.79 1.09975 1.59869 1.50335 1.4895 1.44976 1.48007 1.26086 1.50611 111.042 6466.95 0.608884 -0.718899 134.795 7286.96 0.327042 -1.12985 182.519 3195.52 0.368533 -1.02326 193.276 3634.62 0.138233 -1.30373 185.856 11572.5 0.720169 -0.526765 220.071 13862.2 0.310047 -1.11758 220.671 21012.8 0.875769 -0.256989 274.806 25099.2 0.339341 -1.1062 190.705 22339.7 0.965902 -0.0367567 250.781 27794.7 0.396437 -1.07181 428.745 7453.03 0.273691 -1.10908 440.83 6991.36 0.0936287 -1.1549 175.185 22930.4 1.01381 0.08935 243.474 28646 0.410143 -1.05755
0.799403 11466.9 161.043 -1 -1 -1 2.18184 1.62885 1.6902 1.67037 1.90052 1.30698 2.07369 52.4825 3112.44 2.08306 4.25103 126.084 6287.3 0.644169 -0.710725 168.121 2839.23 0.733846 -0.516057 187.079 3861.36 0.29596 -1.18927 134.576 8287.83 1.49379 1.52985 188.5 12811.8 0.567249 -0.94296 152.049 14351 1.71283 2.32173 218.836 21398.1 0.800569 -0.367349 97.7825 11406.4 2.3288 5.44949 205.693 22053.9 0.841603 -0.289581 421.976 6896.62 0.312211 -1.19347 412.732 8549.05 0.485896 -1.24037 68.5664 8961.31 2.88253 9.05392 199.003 22515 0.847911 -0.259783
1.38339 55465.1 7.83167 1.41752 1831.75 0.872857 1.59652 1.48289 1.48425 1.4478 1.48302 1.28762 1.49719 119.74 6563.05 0.517646 -0.864801 146.151 6514.58 0.142713 -1.10353 186.172 3245.17 0.287859 -1.09711 192.008 3292.37 0.149947 -1.14375 195.566 12363.4 0.581236 -0.800345 228.812 12972 0.230498 -1.15529 234.481 22193.3 0.712527 -0.580537 283.649 23598.3 0.292934 -1.09227 206.949 23890.8 0.790593 -0.438426 267.656 25755.1 0.304543 -1.07853 428.737 7231.04 0.298887 -1.07765 433.906 7008.65 0.198128 -1.09797 196.35 24532.2 0.817513 -0.380276 261.74 26627.4 0.303469 -1.07042
0.814921 27049.2 171.229 0.810643 876.625 3.89723 1.78171 1.29637 1.38178 1.37807 1.47748 1.21423 1.75475 37.573 3048.83 2.29439 5.25206 86.3701 5565.58 1.007 0.0847272 169.43 2818.05 0.635697 -0.621882 173.301 3088.03 0.551468 -0.86025 137.223 8002.04 1.42617 1.51567 160.1 9298.04 1.0442 0.297516 145.306 10810.2 1.68831 2.69162 170.836 12795.1 1.32405 1.34101 97.2038 9351.06 2.13027 4.87608 132.918 12977.4 1.48807 1.93176 398.849 5638.12 0.649871 -0.488541 396.499 6045.89 0.726639 -0.508772 46.1623 6139.68 3.09928 11.3832 111.967 12889.8 1.5893 2.34628
1.01902 354340 570.984 1.30853 455.805 0.924151 3.26886 2.95552 2.95473 2.91421 3.02782 2.51261 3.12865 74.9689 5136.2 1.23761 0.705249 134.366 7007.67 0.320284 -1.11437 173.716 3040.11 0.564 -0.799872 193.331 3454.39 0.116256 -1.26042 155.045 9436.61 1.11989 0.420411 219.345 13510.9 0.282146 -1.17895 172.369 15029.8 1.38294 1.31036 259.076 22334.3 0.441117 -0.887861 130.687 14600.7 1.62545 2.24944 238.606 24533.3 0.468125 -0.870105 412.762 6810.47 0.529352 -0.821248 421.616 6957.42 0.459702 -0.947455 102.325 13764.2 1.84109 3.2014 230.464 25401.8 0.480064 -0.861056
0.863386 6282.86 214.46 1.09187 187.785 1.88414 1.81065 1.43607 1.51441 1.47787 1.56944 1.19451 1.76438 51.9399 3633.19 1.94673 3.2581 95.9546 6000.49 0.778438 -0.564183 170.007 2822.15 0.606673 -0.692499 179.349 2762.23 0.38526 -1.09449 144.449 8791.4 1.31678 1.12564 170.298 9734.32 0.963006 0.217583 153.699 12044.9 1.59106 2.29647 207.533 21080.5 1.1396 0.295636 103.999 10709.1 2.00127 4.164 160.524 21347.2 1.34954 1.00042 407.174 5894.86 0.685994 -0.356544 453.877 8244.81 -0.0687891 -1.42242 64.6923 8081.67 2.67709 8.07003 143.678 21149.4 1.43881 1.32468
1.33372 56350.9 13.5578 1.36591 860.34 1.05854 1.9579 1.80449 1.83451 1.80615 1.84422 1.66055 1.87492 111.782 6569.78 0.595845 -0.741107 150.374 6968.81 0.0744735 -1.24645 183.301 3243.19 0.351152 -1.06506 196.508 3438.64 0.000924562 -1.25754 188.636 11820.1 0.662564 -0.658909 221.904 11607.8 0.208402 -1.02524 224.414 21270.7 0.815145 -0.380995 271.211 22424.4 0.46007 -0.787878 195.416 22698.3 0.903462 -0.189364 253.623 24559.7 0.45702 -0.787225 426.824 7260.33 0.315552 -1.08904 430.287 8097.99 0.324668 -1.19783 179.252 23421.6 0.951114 -0.0726357 248.579 25230.9 0.452178 -0.786229
0.875923 507754 1617.51 1.10103 699.038 1.29251 3.19148 2.72309 2.79949 2.76412 2.91065 2.34151 3.09522 55.3684 3981.62 1.69506 2.4206 119.423 5902.9 0.557425 -0.66228 168.754 2876.78 0.678694 -0.605684 176.434 3244.8 0.527363 -0.932305 139.909 7965.14 1.3663 1.26041 188.05 11803.3 0.694221 -0.686945 150.954 11798.8 1.68596 2.63817 224.114 21786.3 0.867318 -0.312502 106.012 10622 2.03233 4.35253 199.138 23018.5 0.933197 -0.136534 405.058 6453.92 0.653411 -0.626729 429.356 7802.57 0.368622 -1.20215 69.6428 8870.39 2.46748 6.92441 191.178 23452.1 0.947583 -0.0852399
1.52293 4794 10.2891 -1 -1 -1 1.36694 1.37315 1.35729 1.32577 1.31702 1.24407 1.32187 167.256 4231.75 0.0109645 -0.451453 169.469 5153.57 -0.0422086 -1.17286 182.467 2897.78 0.475204 -0.932173 187.197 3587.1 0.156555 -1.63102 219.643 9851.81 0.514476 -0.810283 229.259 10747.6 0.295301 -1.13213 259.028 19351 0.749649 -0.436369 281.345 20695.6 0.356452 -1.13802 255.965 19765.9 0.725864 -0.426721 273.119 21990.8 0.32453 -1.09556 424.4 7970.12 0.425852 -1.09506 428.594 6529.73 -0.000809886 -1.34085 253.243 20205.5 0.69506 -0.415824 273.119 21990.8 0.32453 -1.09556
1.26788 97682.5 32.7374 1.2775 1337.36 1.30665 2.01222 1.88213 1.88783 1.8601 1.90068 1.66978 1.92793 106.634 6408.71 0.670509 -0.629357 137.344 7224.17 0.264339 -1.10718 181.955 3166.42 0.383124 -0.996579 193.746 3478.1 0.194217 -1.21593 181.76 11277.2 0.748056 -0.472996 220.762 12991.1 0.327661 -1.07134 211.347 19519.4 0.942001 -0.0514665 264.053 22487 0.456965 -0.895626 179.994 20625.5 1.04587 0.209607 241.933 24878.1 0.482648 -0.866192 422.126 7119.34 0.389642 -1.00452 430.43 7000.34 0.275383 -1.02214 162.947 21131 1.10161 0.367562 232.135 25962.3 0.492897 -0.852013
1.10581 391086 431.825 1.37311 195.738 0.989778 3.66522 3.41393 3.45441 3.39727 3.45927 3.05348 3.53789 82.8474 5705.29 1.05333 0.165825 136.09 9000.93 0.282352 -1.3951 176.672 3100.01 0.496092 -0.8912 204.327 4132.7 -0.11003 -1.49897 165.144 10327.1 0.970714 -0.00312919 233.096 13082.6 0.0898245 -1.20225 187.02 17018 1.19716 0.651202 284.653 23524.2 0.283624 -1.00515 147.631 17153.1 1.39249 1.28658 248.722 27961 0.348386 -1.03112 416.223 6928.11 0.474597 -0.907496 439.3 7339.73 0.226765 -1.17096 119.604 16743 1.5635 1.91815 238.079 29080.2 0.381504 -1.02845
0.918453 329.4 17.0115 -1 -1 -1 1.07547 0.827 0.587662 0.579784 0.518317 0.69897 1.07183 11.312 811.239 4.81119 28.9834 30.3439 1707.3 3.15818 12.3056 147.627 2290.32 1.56548 1.62337 -9999 -9999 -9999 -9999 124.81 5193.63 1.86351 3.7271 101.101 3486.23 1.48024 1.37958 149.455 14018.5 2.0636 3.57861 133.81 16298.8 2.16999 4.03591 83.238 9352.84 2.98998 9.74653 68.5457 8540.23 3.66262 14.7551 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 13.9878 2020.08 7.36117 68.1698 37.245 5018.31 4.99242 29.6959
