s_e esize chi2ndf_e s_m msize chi2ndf_m log10_NeNm_0_300 log10_NeNm_100_300 log10_NeNm_50_450 log10_NeNm_50_600 log10_NeNm_20_600 log10_NeNm_300_600 log10_NeNm_0_600 e_mean_0_300 e_var_0_300 e_skew_0_300 e_kurt_0_300 m_mean_0_300 m_var_0_300 m_skew_0_300 m_kurt_0_300 e_mean_100_300 e_var_100_300 e_skew_100_300 e_kurt_100_300 m_mean_100_300 m_var_100_300 m_skew_100_300 m_kurt_100_300 e_mean_50_450 e_var_50_450 e_skew_50_450 e_kurt_50_450 m_mean_50_450 m_var_50_450 m_skew_50_450 m_kurt_50_450 e_mean_50_600 e_var_50_600 e_skew_50_600 e_kurt_50_600 m_mean_50_600 m_var_50_600 m_skew_50_600 m_kurt_50_600 e_mean_20_600 e_var_20_600 e_skew_20_600 e_kurt_20_600 m_mean_20_600 m_var_20_600 m_skew_20_600 m_kurt_20_600 e_mean_300_600 e_var_300_600 e_skew_300_600 e_kurt_300_600 m_mean_300_600 m_var_300_600 m_skew_300_600 m_kurt_300_600 e_mean_0_600 e_var_0_600 e_skew_0_600 e_kurt_0_600 m_mean_0_600 m_var_0_600 m_skew_0_600 m_kurt_0_600
1.47291 30415.1 4.15606 1.39596 1336.25 1.10117 1.26231 1.19292 1.19097 1.16606 1.1878 1.07336 1.1998 131.582 6985.97 0.321026 -1.06965 149.733 6949.61 0.130333 -1.20064 190.718 3323.67 0.204272 -1.15635 195.291 3584.87 0.0829711 -1.28448 208.269 12125.7 0.432157 -0.925006 225.725 12725.9 0.217496 -1.08994 250.259 22143.2 0.602272 -0.703858 279.639 23798.4 0.344278 -1.0124 225.834 24321 0.636286 -0.64218 263.293 25879.7 0.358446 -1.00251 429.616 7464.05 0.259598 -1.17086 436.406 7554.63 0.151528 -1.22925 216.214 25183.5 0.649096 -0.617306 258.652 26557.4 0.355231 -0.99587
1.14122 69035.9 85.4861 1.40181 2029.54 1.37888 1.93677 1.64235 1.65951 1.60382 1.69755 1.29609 1.78048 84.3406 5996.08 1.02038 0.0300584 143.485 6838.14 0.150935 -1.08059 179.144 3136.57 0.456249 -0.921017 191.39 3406.22 0.191938 -1.15365 172.536 11013.1 0.879871 -0.218046 229.877 12937.9 0.254116 -1.13377 199.196 18741.9 1.05648 0.200641 285.245 24000.9 0.320994 -1.08895 157.185 19212.7 1.25987 0.768932 266.864 26499.5 0.329123 -1.06414 421.51 6922.72 0.376396 -0.966925 437.326 7463.3 0.135288 -1.19418 127.651 18842.4 1.44383 1.36318 258.631 27671.5 0.330965 -1.05369
1.2247 127707 62.7765 1.30079 3232.52 1.33975 1.8294 1.6418 1.65183 1.61457 1.67155 1.38021 1.71708 98.4864 6226.03 0.792715 -0.410633 139.892 7104.52 0.22001 -1.14277 179.599 3164.3 0.437425 -0.959858 192.794 3482.06 0.149419 -1.22801 177.287 11221.3 0.819058 -0.35984 223.365 12880.5 0.258608 -1.11292 207.187 19695.3 0.988726 0.00846956 272.326 23420.4 0.407314 -0.942228 172.367 20564.1 1.12662 0.375038 251.188 25907.1 0.428688 -0.92326 424.392 7120.92 0.341499 -1.04595 432.652 7549.03 0.262296 -1.16433 151.538 20847.1 1.21605 0.640329 243.404 26857.3 0.43479 -0.915108
1.38745 23988.3 5.31523 1.40341 705.228 0.825387 1.62617 1.50951 1.53329 1.49098 1.51935 1.35695 1.54387 116.768 6762.65 0.516149 -0.845915 147.164 7042.74 0.118384 -1.2034 184.184 3318.57 0.335726 -1.08201 194.643 3498.5 0.0912756 -1.32224 197.38 12432.3 0.581814 -0.802413 224.101 12227.6 0.276481 -1.05474 235.807 22148.7 0.714426 -0.569747 284.401 24681.9 0.366734 -1.04999 207.984 23934.4 0.786607 -0.433461 264.455 27304.4 0.376513 -1.02064 429.271 7259.2 0.325548 -1.02146 444.85 7869.15 0.063314 -1.21755 192.697 24846.9 0.826539 -0.350692 258.396 28126.7 0.378963 -1.0125
1.33221 136048 35.9629 1.36053 4528.51 1.25118 1.62342 1.49383 1.49712 1.45768 1.5042 1.29862 1.53045 111.516 6584.89 0.591339 -0.761026 143.817 6777.61 0.181679 -1.10256 183.31 3211.76 0.343459 -1.05243 193.324 3360.21 0.168075 -1.21234 189.882 11801.3 0.668045 -0.636682 219.418 12654 0.324673 -1.07229 227.317 21650.1 0.808581 -0.410296 277.277 24850.8 0.392458 -1.04882 196.009 23205.7 0.904216 -0.201623 260.919 26865.9 0.407634 -1.01741 430.46 7330.79 0.269432 -1.11829 443.349 7483.37 0.097861 -1.23371 179.95 23888.4 0.955023 -0.0802854 253.422 27858 0.409886 -1.00259
1.52392 36756.8 3.83852 1.37102 1156.13 1.3661 1.20055 1.1912 1.18063 1.15305 1.16976 1.09757 1.1659 137.593 6585.26 0.293676 -1.02876 139.502 6723.57 0.252062 -1.08076 189.251 3406.91 0.233592 -1.18982 189.852 3510.91 0.172669 -1.24939 210.902 12776.1 0.44621 -0.966858 212.621 13496.9 0.400085 -1.03698 254.765 22884.6 0.551906 -0.822907 272.175 25944.6 0.380252 -1.11904 235.959 24703.4 0.576203 -0.773386 260.347 27324.1 0.401013 -1.0915 432.914 7114.94 0.253049 -1.04625 445.86 6988.37 0.0534899 -1.15877 229.242 25417.2 0.579088 -0.756668 250.775 28550.5 0.408906 -1.06714
1.32763 27982.5 7.25359 1.3645 1008.06 1.39484 1.57808 1.51376 1.46576 1.43369 1.47657 1.25998 1.48409 116.003 6492.27 0.535906 -0.82728 137.088 7249.14 0.262127 -1.21736 184.084 3108.95 0.354642 -0.982709 197.342 3416.83 -0.0414165 -1.31669 192.685 11551.1 0.615023 -0.699117 226.993 13722.5 0.182946 -1.25422 227.82 20766.5 0.803546 -0.3554 277.948 24262.7 0.312967 -1.05559 195.335 22581.9 0.884094 -0.179443 258.701 26557 0.350901 -1.04838 423.024 7504.62 0.364225 -1.08006 433.869 7224.42 0.26859 -1.15578 184.684 23088.9 0.914825 -0.111541 248.316 27902.2 0.362384 -1.03771
1.53581 30535.9 3.25079 1.35173 1116.73 0.833687 1.07918 1.0722 1.06793 1.04988 1.04763 0.994248 1.05013 141.478 6484.53 0.23997 -1.05839 147.438 7176.1 0.161877 -1.21627 190.683 3279.4 0.233125 -1.12666 198.097 3573.13 0.0362747 -1.28256 213.781 12300.2 0.363971 -1.01092 227.883 13022.2 0.231219 -1.13029 255.353 21901.1 0.544918 -0.75128 277.605 23121.9 0.341337 -1.01698 237.193 23737.7 0.558983 -0.723347 256.377 25795.8 0.360849 -1.00415 425.19 7373.79 0.354856 -1.07559 435.79 6847.41 0.205126 -1.08612 232.334 24292.8 0.556951 -0.715998 252.461 26329.8 0.361471 -1.00001
1.28502 51265.3 30.1586 1.32376 642.703 1.28798 2.06791 1.93314 1.92111 1.89562 1.94938 1.74717 1.98342 103.195 6617.69 0.721028 -0.588552 134.185 7210.11 0.33478 -1.1547 182.82 3277.96 0.368894 -1.04593 191.083 3899.11 0.0328935 -1.46356 186.974 11802.8 0.684949 -0.619979 217.092 13976.9 0.334975 -1.15824 223.295 21449 0.828451 -0.367047 266.108 24667.2 0.413584 -1.01419 187.58 22901.8 0.958786 -0.0907744 247.355 26611.6 0.456202 -0.980693 428.232 7325.64 0.292677 -1.09736 437.491 7114.79 0.2383 -1.04835 167.064 23437.7 1.04451 0.112254 236.866 27813.4 0.469298 -0.957829
1.386 249025 41.5405 1.35329 5046.16 1.19985 1.75639 1.65351 1.65486 1.62367 1.65372 1.48892 1.67441 117.094 6750.37 0.518012 -0.858566 143.569 7073.93 0.172211 -1.16874 185.604 3259.89 0.312435 -1.08311 194.887 3447.92 0.0995617 -1.24995 196.926 12294.8 0.568278 -0.807435 227.084 13194.8 0.255288 -1.12389 235.724 22034.6 0.704817 -0.583135 280.326 23924.2 0.330371 -1.05858 207.432 23829.7 0.782015 -0.444718 260.88 26432.8 0.348564 -1.03985 427.943 7231.37 0.308831 -1.07059 438.134 7049.3 0.166371 -1.0959 192.966 24696 0.820107 -0.3665 253.774 27386.7 0.353466 -1.03214
