AUC,F1,Q_max,Z_max,energy_range,Q_max_TPR,Q_max_FPR,Q_max_threshold,Significance_max,Sig_TPR,Sig_FPR,Sig_threshold,Sig_Q,N_nu,N_p,Significance_real_min,Significance_real_max,Neutrino_Probability_Low,Neutrino_Probability_High
0.973282471626734,0.0108812492843798,6279.949558638083,1875314.1525514435,1.e5_1.e6_60,0.6279949558638083,0.0,0.9329361614207752,4885935.825775536,0.6279949558638083,0.0,0.9329361614207752,6279.949558638083,778.021508,16711150.738798,0.042909884898819,0.09898272812012038,8.782326749452955e-09,2.025870409470821e-08
0.9585330010861928,0.022498508225076,4148.936170212765,297550.0022224793,1.e5_1.e6_70,0.4148936170212766,0.0,0.9574841371182504,2395880.8761702124,0.4148936170212766,0.0,0.9574841371182504,4148.936170212765,577.468724,12403470.604399,0.030520549021705014,0.07040344876758743,1.2738758978072296e-08,2.9385204192675273e-08
0.9416505001611384,0.058350970333967,5972.644376899696,140090.28419452906,1.e5_1.e6_80,0.5972644376899696,0.0,0.899317086156174,1835182.722948328,0.5972644376899696,0.0,0.899317086156174,5972.644376899696,307.26469,6599748.85938,0.041557931186124115,0.09586315068594256,2.2645119020823643e-08,5.2236297501718424e-08
0.9943035040074186,0.0107925042353619,96.7741935483871,74706.61968222747,1.e6_1.e7_60,0.0096774193548387,0.0,0.9696174699190574,2273.7942580645163,0.0096774193548387,0.0,0.9696174699190574,96.7741935483871,23.495874,272966.88732,4.606412504637558e-05,0.0001062581762991955,2.025870409470821e-08,4.6731658294204667e-08
0.9830855332629356,0.0191522459247993,4097.14889123548,33088.74894813641,1.e6_1.e7_70,0.409714889123548,0.0,0.968467578554805,71451.31442449841,0.409714889123548,0.0,0.968467578554805,4097.14889123548,17.439277,202603.448187,0.0020996114641989297,0.004843272046730445,2.9385204192675273e-08,6.778422602495665e-08
0.9877794759825328,0.0223321414932174,6823.144104803493,12325.052492721969,1.e6_1.e7_80,0.6823144104803494,0.0,0.9467974903633634,63313.62581877728,0.6823144104803494,0.0,0.9467974903633634,6823.144104803493,9.279245,107803.043094,0.0035222115410566816,0.008124848354869416,5.563117726251083e-08,1.2832701096798948e-07
0.9999546871974856,0.0024069124489132,9711.9341563786,84.21907155411645,1.e6_1.e7_89,0.97119341563786,0.0,0.8498793562496043,9195.725432098763,0.97119341563786,0.0,0.8498793562496043,9711.9341563786,0.946848,11000.147273,0.0003176098503193823,0.0007326445897852345,3.45388575011959e-08,7.967229939552697e-08
0.9902429338456912,0.0128116324002016,5439.739413680782,-1237.8206587043069,1.e7_1.e8_60,0.5439739413680782,0.0,0.959557867964366,3859.84325732899,0.5439739413680782,0.0,0.959557867964366,5439.739413680782,0.709564,1521.765562,0.00018037687617068827,0.00041608366315675215,4.6731658294204667e-08,1.0779807246491193e-07
0.9905129032258064,0.0210465811718058,7247.311827956989,1922.965836360058,1.e7_1.e8_70,0.7247311827956989,0.0,0.9466994118883946,3816.854752688172,0.7247311827956989,0.0,0.9466994118883946,7247.311827956989,0.526658,1129.49579,0.00025872254526064503,0.0005968075187045942,6.778422602495665e-08,1.5636107669129113e-07
0.9987694770544292,0.0069582637933716,8911.419423692636,846.3267508538072,1.e7_1.e8_80,0.8911419423692636,0.0,0.9399416313827372,2497.2381536819635,0.8911419423692636,0.0,0.9399416313827372,8911.419423692636,0.280229,600.992157,0.00032046310793722713,0.0007392270675103853,1.2832701096798948e-07,2.960178493270489e-07
0.9999012605042016,0.0010504201680672,9086.134453781511,7.809285714285693,1.e7_1.e8_89,0.9086134453781513,0.0,0.9257497406381874,259.80892857142857,0.9086134453781513,0.0,0.9257497406381874,9086.134453781511,0.028594,61.32482,2.404359784514568e-05,5.546232259888363e-05,9.254338554625708e-08,2.134735049478314e-07
